"PPN","physischePPN"
"PPN826267122","PPN134813723"
"PPN1728899680","PPN118494136X"
"PPN770088910","PPN449045390"
"PPN884085635","PPN231380283"
"PPN3306132454","PPN3306129771"
"PPN732720265","PPN240392477"
"PPN653805594","PPN653805594a"
"PPN819707864","PPN819707554"
"PPN1728613140","PPN1727698843"
"PPN780887964","PPN780887069"
"PPN635692503","PPN635692503a"
"PPN1665708034","PPN1330655621"
"PPN745114075","PPN557291542"
"PPN3346229033","PPN3342141719"
"PPN843859989","PPN84130498X"
"PPN872324958","PPN872322203"
"PPN74395971X","PPN452538858"
"PPN1733707247","PPN1139543326"
"PPN68925055X","PPN689174489"
"PPN756641462","PPN311580076"
"PPN334876291X","PPN3348762413"
"PPN837489415","PPN837311748"
"PPN1018177523","PPN1018160108"
"PPN1733926097","PPN1733924973"
"PPN815562578","PPN028257804"
"PPN819243450","PPN481736166"
"PPN1728872790","PPN1728872014"
"PPN823768406","PPN226538044"
"PPN751258229","PPN558966497"
"PPN3355198234","PPN3355088846"
"PPN1726138275","PPN1726136825"
"PPN3306130931","PPN3305159065"
"PPN3308097079","PPN3308093855"
"PPN751183733","PPN216344654"
"PPN833506625","PPN747935769"
"PPN637345649","PPN637208439"
"PPN75641038X","PPN756409365"
"PPN823786412","PPN197694489"
"PPN782819117","PPN782794416"
"PPN790120100","PPN602161746"
"PPN858992213","PPN858813408"
"PPN87278827X","PPN240088611"
"PPN824443632","PPN824422953"
"PPN1737480603","PPN1737474778"
"PPN745236499","PPN56566879X"
"PPN3371390934","PPN3371390284"
"PPN682716286","PPN682490717"
"PPN3343668931","PPN3308102811"
"PPN1024295206","PPN402524500"
"PPN1018381708","PPN405515715"
"PPN1734913215","PPN1734912707"
"PPN665216300","PPNx"
"PPN104720164X","PPN1046965697"
"PPN629823820","PPN628584156"
"PPN3346232212","PPN3343792497"
"PPN889241503","PPN888967969"
"PPN729571904","PPN729529835"
"PPN634717774","PPN634717774a"
"PPN3346230392","PPN3343788120"
"PPN3343782246","PPN3343782238"
"PPN1731806124","PPN1729113214"
"PPN75154132X","PPN751401900"
"PPN172699225X","PPN1726869490"
"PPN826517242","PPN341438472"
"PPN337134018X","PPN3371333612"
"PPN3308098016","PPN3308094797"
"PPN1011867745","PPN1011834537"
"PPN744905877","PPN421388366"
"PPN3346232018","PPN3343791849"
"PPN3371387062","PPN3370706571"
"PPN805162232","PPN802929893"
"PPN3371340112","PPN337133354X"
"PPN659421887","PPN659388286"
"PPN3346230813","PPN3343789771"
"PPN79555818X","PPN022847758"
"PPN3371341151","PPN3371334589"
"PPN624719049","PPNx"
"PPN816865302","PPN192777246"
"PPN816591415","PPN138578389"
"PPN3346157148","PPN334615713X"
"PPN76907619X","PPN57168419X"
"PPN887789390","PPN887788564"
"PPN100130358X","PPN1001298047"
"PPN3303600600","PPN3303505233"
"PPN1016258151","PPN393369463"
"PPN3303599653","PPN330350623X"
"PPN101181773X","PPN1011805537"
"PPN1728568986","PPN1727701968"
"PPN3346157245","PPN3346157237"
"PPN174266637X","PPN1565508858"
"PPN721987028","PPN720913438"
"PPN3343672114","PPN3343672017"
"PPN3303599416","PPN3303506477"
"PPN769124267","PPN769116116"
"PPN3303599920","PPN3303505942"
"PPN898747635","PPN420210075"
"PPN1667599526","PPN1010319396"
"PPN3303601135","PPN3303504687"
"PPN1726777707","PPN1726776603"
