PPN; Jahr; Titel; Publisher
PPN1001304616; 1234; Kitāb ad-Diyārāt; none
PPN1001509269; 1688; Rathoddhatā; none
PPN1002791960; 1715; Tibetische Urkunde; none
PPN1004501633; 1845; Buch über den Pfad des Mönchtum, der Demut und der Askese; none
PPN1004734697; 1832; Tibetische Urkunde; none
PPN1004841388; 1800; Tibetische Urkunde; none
PPN1005178771; 1796; Ḏaḫīrat al-fuʾād; none
PPN1006393676; 1700; Ġazwat al-Arqaṭ : 1; none
PPN1006396632; 1100; Arabische Sammelhandschrift; none
PPN1006398619; 1700; Alf laila wa-laila; none
PPN1006399496; 1700; Ġazwat al-Arqaṭ; none
PPN1006400044; 1700; Ġazwat al-Arqaṭ; none
PPN1006400400; 1700; Ġazwat al-Arqaṭ; none
PPN1006409963; 1700; Ġazwat al-Arqaṭ : 2; none
PPN1006410228; 1700; Ġazwat al-Arqaṭ : 3; none
PPN1006410384; 1700; Ġazwat al-Arqaṭ : 4; none
PPN1006410678; 1700; Ġazwat al-Arqaṭ : 5; none
PPN1006410821; 1700; Ġazwat al-Arqaṭ : 6; none
PPN1006411038; 1700; Ġazwat al-Arqaṭ : 7; none
PPN1006411313; 1700; Ġazwat al-Arqaṭ : 8; none
PPN1006411666; 1700; Ġazwat al-Arqaṭ : 9; none
PPN1006412840; 1700; Ġazwat al-Arqaṭ : 10; none
PPN1006413324; 1700; Ġazwat al-Arqaṭ : 11; none
PPN1006413642; 1700; Ġazwat al-Arqaṭ : 12; none
PPN1008144622; 1700; Hăr la-llü k'ö. Ā ndzĭ mi; none
PPN1009250604; 1700; [Sīrat an-nabīy]; none
PPN1009252186; 1700; Sīrat an-nabīy; none
PPN1009253883; 1648; Maǧmūʿa fīhī Ġazwat Badr wa-ġazwat Uḥud wa-futūḥ Makka al-mušarrifa wa-ġazwat Tabūk wa-ġazwat Banī Quraiẓa; none
PPN1009256807; 1321; al-Īmān at-tāmm bi-Muḥammad ʿalaihi as-salām; none
PPN1010057677; 1400; Arabische Sammelhandschrift; none
PPN1010061682; 1400; Arabische Sammelhandschrift; none
PPN1010087584; 1500; Arabische Sammelhandschrift; none
PPN1010160109; 1670; Ḫabāyā az-zawāyā fīmā fī 'r-riǧāl min al-baqāyā; none
PPN1010173634; 1623; Kitāb aṣ-Ṣabūḥ; none
