PPN; SetSpecification; Title; Creator; Subject; Publisher; Date; Identifier
1337816892; kolonialismus; Die Farm im Steppenlande; Aschenborn, Hans Anton; Kolonialismus; Neumann; 1925; https://www.digishelf.de/piresolver?id=1337816892
1168073766; kolonialismus; Kolonieen als Bed\xef\xbf\xbdrfnis unserer nationalen Entwickelung; Fabri, Timotheus; Kolonialismus; Winter; 1884; https://www.digishelf.de/piresolver?id=1168073766
1157178456; kolonialismus; Dr. [Doktor] Ludwig Krapf, weil. Missionar in Ostafrika; Claus, Wilhelm; Kolonialismus; Spittler; 1882; https://www.digishelf.de/piresolver?id=1157178456
1123799253; kolonialismus; Deutschlands koloniale Politik; Stegemann, Richard; Kolonialismus; Puttkammer & M\xef\xbf\xbdhlbrecht; 1884; https://www.digishelf.de/piresolver?id=1123799253
1358180091; kolonialismus; Koloniale und politische Aufs\xef\xbf\xbdtze und Reden; Scharlach, ...; Kolonialismus; Mittler; 1903; https://www.digishelf.de/piresolver?id=1358180091
115739891X; kolonialismus; Wie Deutschland seine Kolonien bekam!; Burger, Alexander; Kolonialismus; Bonz; 1913; https://www.digishelf.de/piresolver?id=115739891X
1358069875; kolonialismus; Pegasus im W\xef\xbf\xbdstenland; none; Kolonialismus; Selbstverlag; 1919; https://www.digishelf.de/piresolver?id=1358069875
1358030138; kolonialismus; Entwurf eines Planes zur Gr\xef\xbf\xbdndung von Colonien f\xef\xbf\xbdr Deutschland; none; Kolonialismus; Decker; 1872; https://www.digishelf.de/piresolver?id=1358030138
1135172870; kolonialismus; Das deutsche Kolonialreich und die Mission; Richter, Julius; Kolonialismus; Verl. d. Basler Missionsbuchhandlung; 1914; https://www.digishelf.de/piresolver?id=1135172870
1358392390; kolonialismus; Wir Schutztruppler; Wagner, Rudolf; Kolonialismus; Verl. Anst. Buntdruck; 1913; https://www.digishelf.de/piresolver?id=1358392390
1334675953; kolonialismus; Deutsch-national; Peters, Carl; Kolonialismus; Walther & Apolant; 1887; https://www.digishelf.de/piresolver?id=1334675953
1358266573; kolonialismus; Die deutschen Schutzgebiete in ihrer wirtschaftlichen Entwicklung bis zum Jahr 1893; none; Kolonialismus; Uhl; 1894; https://www.digishelf.de/piresolver?id=1358266573
1358027633; kolonialismus; Deutschlands Kolonien; Frenzel, Karl; Kolonialismus; Meyer; 1889; https://www.digishelf.de/piresolver?id=1358027633
165637949X; kolonialismus; Die staatsrechtliche Stellung der deutschen Schutzgebiete; Meyer, Georg; Kolonialismus; Duncker & Humblot; 1888; https://www.digishelf.de/piresolver?id=165637949X
1347082212; kolonialismus; Deutsche Kolonialreform; Walz-Eidenbenz, Fritz; Kolonialismus; Z\xef\xbf\xbdrcher & Furrer; 1905; https://www.digishelf.de/piresolver?id=1347082212
1090326602; kolonialismus; Staatsstreich oder Reformen!; Walz-Eidenbenz, Fritz; Kolonialismus; Z\xef\xbf\xbdrcher & Furrer; 19XX; https://www.digishelf.de/piresolver?id=1090326602
1114649678; kolonialismus; Unsere Kolonialwirtschaft in ihrer Bedeutung f\xef\xbf\xbdr Industrie, Handel und Landwirtschaft; none; Kolonialismus; Kolonial-Wirtschaftliches Komitee; 1910; https://www.digishelf.de/piresolver?id=1114649678
1105769089; kolonialismus; Die Rechtsverh\xef\xbf\xbdltnisse der Kolonialbeamten; Salge, Ernst; Kolonialismus; Universit\xef\xbf\xbdt M\xef\xbf\xbdnster; 1910; https://www.digishelf.de/piresolver?id=1105769089
1174545445; kolonialismus; Die wirtschaftliche Bedeutung unserer Kolonien; J\xef\xbf\xbdhlinger, Otto; Kolonialismus; Reimer; 1910; https://www.digishelf.de/piresolver?id=1174545445
1358018774; kolonialismus; Wozu hat Deutschland eigentlich Kolonien?; Michaelis, Carl Eduard; Kolonialismus; Meinecke; 1911; https://www.digishelf.de/piresolver?id=1358018774
1358067147; kolonialismus; Im \xef\xbf\xbdberseeischen Deutschland; Barth, Christian Gottlo; Kolonialismus; Geibel; 1910; https://www.digishelf.de/piresolver?id=1358067147
1073761711; kolonialismus; Das deutsche Kolonialwesen; Rohrbach, Paul; Kolonialismus; Gloeckner; 1911; https://www.digishelf.de/piresolver?id=1073761711
1343859107; kolonialismus; Das Privatrecht der Farbigen in den deutschen Schutzgebieten; none; Kolonialismus; Westf\xef\xbf\xbdlische Vereinsdruckerei; 1913; https://www.digishelf.de/piresolver?id=1343859107
1358048584; kolonialismus; Die Erwerber der deutschen Kolonien; Opitz, Walter; Kolonialismus; Brandstetter; 1909; https://www.digishelf.de/piresolver?id=1358048584
1358048517; kolonialismus; Die Helden des Deutschtums; Opitz, Walter; Kolonialismus; Brandstetter; 19XX; https://www.digishelf.de/piresolver?id=1358048517
1358368287; kolonialismus; Unsere Kolonialwirtschaft in ihrer Bedeutung f\xef\xbf\xbdr Industrie, Handel und Landwirtschaft; none; Kolonialismus; Kolonialwirtschaftl. Kommittee; 1914; https://www.digishelf.de/piresolver?id=1358368287
1173754474; kolonialismus; Die deutschen Kolonien; none; Kolonialismus; K\xef\xbf\xbdsel; 1912; https://www.digishelf.de/piresolver?id=1173754474
1173756191; kolonialismus; Rechte und Pflichten in den deutschen Schutzgebieten; Mallmann, Rudolf; Kolonialismus; Curtius; 1913; https://www.digishelf.de/piresolver?id=1173756191
1140807587; kolonialismus; Deutsche Kolonisatoren in Afrika; Lewin, Percy E.; Kolonialismus; Orell F\xef\xbf\xbd\xef\xbf\xbdli; 1918; https://www.digishelf.de/piresolver?id=1140807587
1358061858; kolonialismus; Afrika f\xef\xbf\xbdr Europa; Schnee, Heinrich; Kolonialismus; Sachers & Kuschel; 1924; https://www.digishelf.de/piresolver?id=1358061858
1191325040; kolonialismus; Die deutschen Kolonien unter fremder Mandatherrschaft; Schnee, Heinrich; Kolonialismus; Quelle & Meyer; 1922; https://www.digishelf.de/piresolver?id=1191325040
1182577237; kolonialismus; Aussichten f\xef\xbf\xbdr den Bergbau in den deutschen Kolonien; none; Kolonialismus; Verl. d. Kolonial-Wirtschaftlichen Komitees; 1909; https://www.digishelf.de/piresolver?id=1182577237
1358069212; kolonialismus; Habari; Rothhaupt, Wilhelm; Kolonialismus; Strecker & Schr\xef\xbf\xbdder; 1925; https://www.digishelf.de/piresolver?id=1358069212
1343281032; kolonialismus; Meine Erlebnisse w\xef\xbf\xbdhrend des Feldzuges gegen die Hereros und Witbois nach meinem Tagebuch; Auer von Herrenkirchen, Helmuth; Kolonialismus; Eisenschmidt; 1912; https://www.digishelf.de/piresolver?id=1343281032
1135231257; kolonialismus; Erinnerungen aus meinen Pflanzerjahren in Deutsch-Ostafrika; Kaundinya, R.; Kolonialismus; Haberland; 1918; https://www.digishelf.de/piresolver?id=1135231257
1173085718; kolonialismus; Dritter Band; none; Kolonialismus; Gressner & Schramm; 1885; https://www.digishelf.de/piresolver?id=1173085718
1173085467; kolonialismus; Afrika Hand-Lexikon; none; Kolonialismus; Gressner & Schramm; 19XX; https://www.digishelf.de/piresolver?id=1173085467
1173085610; kolonialismus; 1885; none; Kolonialismus; Gressner & Schramm; 1885; https://www.digishelf.de/piresolver?id=1173085610
443843163; kolonialismus; Kritische Rundschau \xef\xbf\xbdber \xef\xbf\xbdltere deutsche Ansiedlungen in den Tropen zur Feststellung der Bedeutung von Togo, Kamerun und Deutsch-Ostafrika f\xef\xbf\xbdr die deutsche Auswanderung; none; Kolonialismus; J. W. Heeg; 1905; https://www.digishelf.de/piresolver?id=443843163
1178610888; kolonialismus; Deutsche M\xef\xbf\xbdnner in Afrika; Weidmann, Conrad; Kolonialismus; N\xef\xbf\xbdhring; 1894; https://www.digishelf.de/piresolver?id=1178610888
1158439911; kolonialismus; Abri\xef\xbf\xbd der Geschichte Afrikas; Wirth, Albrecht; Kolonialismus; Georgi; 1900; https://www.digishelf.de/piresolver?id=1158439911
1126984264; kolonialismus; Im Reiche des Meergottes; Ziegfeld, Arnold Hillen; Kolonialismus; Union Dt. Verl.-Anst.; 1923; https://www.digishelf.de/piresolver?id=1126984264
1408192055; kolonialismus; Geschichte der Aufteilung und Kolonisation Afrikas seit dem Zeitalter der Entdeckungen; Darmstaedter, Paul; Kolonialismus; Vereinigung Wiss. Verl.; 19XX; https://www.digishelf.de/piresolver?id=1408192055
1072603608; kolonialismus; 1415 - 1870; Darmstaedter, Paul; Kolonialismus; G\xef\xbf\xbdschen; 1913; https://www.digishelf.de/piresolver?id=1072603608
1341558010; kolonialismus; Von Tripolis nach Alexandrien : Beschreibung der im Auftrage Sr. Majest\xef\xbf\xbdt des K\xef\xbf\xbdnigs von Preussen in den Jahren 1868 und 1869 ausgef\xef\xbf\xbdhrten Reise; Rohlfs, Gerhard; Kolonialismus; Fischer; 1885; https://www.digishelf.de/piresolver?id=1341558010
117713974X; kolonialismus; Von Tripolis nach Alexandrien; Rohlfs, Gerhard; Kolonialismus; K\xef\xbf\xbdhtmann; 18XX; https://www.digishelf.de/piresolver?id=117713974X
1128617838; kolonialismus; Die Atlasl\xef\xbf\xbdnder; Banse, Ewald; Kolonialismus; Teubner; 1910; https://www.digishelf.de/piresolver?id=1128617838
1114333816; kolonialismus; Orient; Banse, Ewald; Kolonialismus; Teubner; 19XX; https://www.digishelf.de/piresolver?id=1114333816
1337880493; kolonialismus; Entdeckungen in dem n\xef\xbf\xbdrdlichen und dem mittleren Africa; Denham, Dixon; Kolonialismus; Bran; 1826; https://www.digishelf.de/piresolver?id=1337880493
133771707X; kolonialismus; Afrikanisches Liederbuch; Engel, Ernst; Kolonialismus; Clauss; 1919; https://www.digishelf.de/piresolver?id=133771707X
133771755X; kolonialismus; Die Geheimnisse der Nami; none; Kolonialismus; Safari-Verlag; 1921; https://www.digishelf.de/piresolver?id=133771755X
1337718556; kolonialismus; Im Lande der Leoparden; Heimanns, Heinrich; Kolonialismus; Xaverius Verlagsbuchhandlg; 1925; https://www.digishelf.de/piresolver?id=1337718556
1159956960; kolonialismus; Schreckenstage in Kumase; Steiner, Paul; Kolonialismus; Verl. d. Missionsbuchh.; 1901; https://www.digishelf.de/piresolver?id=1159956960
1169617565; kolonialismus; Mein erster Weg zum Kongo; Stanley, Henry Morton; Kolonialismus; Brockhaus; 1922; https://www.digishelf.de/piresolver?id=1169617565
1338691414; kolonialismus; Unter Zwergen und Gorillas; none; Kolonialismus; Brockhaus; 1925; https://www.digishelf.de/piresolver?id=1338691414
1129692930; kolonialismus; Afrika; Jaeger, Fritz; Kolonialismus; de Gruyter; 19XX; https://www.digishelf.de/piresolver?id=1129692930
1173088075; kolonialismus; Physische Erdkunde; Jaeger, Fritz; Kolonialismus; de Gruyter; 1925; https://www.digishelf.de/piresolver?id=1173088075
1173457488; kolonialismus; The vegetation and soils of Africa; Marbut, Curtis Fletcher; Kolonialismus; American Geographical Society; 1923; https://www.digishelf.de/piresolver?id=1173457488
1094810827; kolonialismus; Gustav Nachtigal; none; Kolonialismus; Schall; 1914; https://www.digishelf.de/piresolver?id=1094810827
1659206529; kolonialismus; Emin Pascha; Schweitzer, Georg; Kolonialismus; Walther; 1898; https://www.digishelf.de/piresolver?id=1659206529
1136542418; kolonialismus; Die Dichtung der Afrikaner; Meinhof, Carl; Kolonialismus; Berliner Evang. Missionsges.; 1911; https://www.digishelf.de/piresolver?id=1136542418
1340585871; kolonialismus; Der Kagera-Nil; Fitzner, Rudolf; Kolonialismus; Schall; 1899; https://www.digishelf.de/piresolver?id=1340585871
1117283798; kolonialismus; Ruanda; Johanssen, Ernst; Kolonialismus; Verlagshandl. der Anstalt Bethel; 1912; https://www.digishelf.de/piresolver?id=1117283798
1111546967; kolonialismus; Bev\xef\xbf\xbdlkerung und Aufenthaltsrecht in den deutschen Schutzgebieten Afrikas; L\xef\xbf\xbdcke, Joachim Heinrich; Kolonialismus; Friederichsen; 1913; https://www.digishelf.de/piresolver?id=1111546967
1336558709; kolonialismus; Schilderungen der Suaheli von Expeditionen v. Wissmanns, Dr. Bumillers, Graf v. G\xef\xbf\xbdtzens, und anderer; none; Kolonialismus; Vandenhoeck & Ruprecht; 1901; https://www.digishelf.de/piresolver?id=1336558709
1337842192; kolonialismus; Erlebnisse und Abenteuer eines Deutschen bei der franz\xef\xbf\xbdsischen Fremdenlegion in Afrika <1856 bis 1958>; none; Kolonialismus; Kollmann; 1859; https://www.digishelf.de/piresolver?id=1337842192
1079840737; kolonialismus; Achtzehn Jahre Farmer in Afrika; none; Kolonialismus; List; 1925; https://www.digishelf.de/piresolver?id=1079840737
1153147017; kolonialismus; Um Afrika; Joest, Wilhelm; Kolonialismus; Dumont-Schauberg; 1885; https://www.digishelf.de/piresolver?id=1153147017
1070313203; kolonialismus; Bismarcks Kolonialpolitik; Hagen, Maximilian; Kolonialismus; Perthes; 1923; https://www.digishelf.de/piresolver?id=1070313203
1138356077; kolonialismus; Wie erschliessen wir unsere Kolonien?; Blum, Otto; Kolonialismus; Reimer; 1907; https://www.digishelf.de/piresolver?id=1138356077
1325768804; kolonialismus; Flotte und Kolonie im Spiegel deutscher Dichtung; none; Kolonialismus; Heckner; 1911; https://www.digishelf.de/piresolver?id=1325768804
1358012717; kolonialismus; Das deutsche Vaterland, seine Kolonien und Auswanderungsgebiete; none; Kolonialismus; Bonz; 1896; https://www.digishelf.de/piresolver?id=1358012717
1337812323; kolonialismus; Vom Kap zum Nil; Dove, Karl; Kolonialismus; Allg. Verein f\xef\xbf\xbdr Dt. Literatur; 1898; https://www.digishelf.de/piresolver?id=1337812323
1678136077; kolonialismus; Ein Freund Afrikas; Steiner, Paul; Kolonialismus; Basler Missionsbuchh.; 1917; https://www.digishelf.de/piresolver?id=1678136077
1659196779; kolonialismus; Forschungen und Erlebnisse im "dunkelsten Afrika"; Jameson, James Sligo; Kolonialismus; Verl.-Anst. und Dr.-AG; 1891; https://www.digishelf.de/piresolver?id=1659196779
1337461504; kolonialismus; Forschungen und Erlebnisse im "dunkelsten Afrika"; Jameson, James Sligo; Kolonialismus; Verl.-Anst. und Dr.-AG; 1891; https://www.digishelf.de/piresolver?id=1337461504
115736764X; kolonialismus; Ein Freund Afrikas; Steiner, Paul; Kolonialismus; Basler Missionsbuchh.; 1917; https://www.digishelf.de/piresolver?id=115736764X
1782700013; kolonialismus; Aussichten f\xef\xbf\xbdr den Bergbau in den deutschen Kolonien; none; Kolonialismus; Verl. d. Kolonial-Wirtschaftlichen Komitees; 1909; https://www.digishelf.de/piresolver?id=1782700013
1780953615; kolonialismus; Die deutschen Kolonien; none; Kolonialismus; K\xef\xbf\xbdsel; 1912; https://www.digishelf.de/piresolver?id=1780953615
1782562745; kolonialismus; Wozu hat Deutschland eigentlich Kolonien?; Michaelis, Carl Eduard; Kolonialismus; Meinecke; 1911; https://www.digishelf.de/piresolver?id=1782562745
1780948670; kolonialismus; Kolonieen als Bed\xef\xbf\xbdrfnis unserer nationalen Entwickelung; Fabri, Timotheus; Kolonialismus; Winter; 1884; https://www.digishelf.de/piresolver?id=1780948670
1782562672; kolonialismus; Deutschlands Kolonien; Frenzel, Karl; Kolonialismus; Meyer; 1889; https://www.digishelf.de/piresolver?id=1782562672
1782562648; kolonialismus; Entwurf eines Planes zur Gr\xef\xbf\xbdndung von Colonien f\xef\xbf\xbdr Deutschland; none; Kolonialismus; Decker; 1872; https://www.digishelf.de/piresolver?id=1782562648
1782562737; kolonialismus; Das deutsche Kolonialwesen; Rohrbach, Paul; Kolonialismus; Gloeckner; 1911; https://www.digishelf.de/piresolver?id=1782562737
1782562621; kolonialismus; Das deutsche Vaterland, seine Kolonien und Auswanderungsgebiete; none; Kolonialismus; Bonz; 1896; https://www.digishelf.de/piresolver?id=1782562621
1782562664; kolonialismus; Kurze Darstellung der neueren deutschen Kolonial-Geschichte; Breitenbach, Wilhelm; Kolonialismus; Verlagsanst. A.-G.; 1888; https://www.digishelf.de/piresolver?id=1782562664
1358502455; kolonialismus; Deutsche Colonialgeschichte; Koschitzky, Max; Kolonialismus; Baldamus; 1888; https://www.digishelf.de/piresolver?id=1358502455
1358502323; kolonialismus; Deutsche Colonialgeschichte; Koschitzky, Max; Kolonialismus; Baldamus; 1888; https://www.digishelf.de/piresolver?id=1358502323
