PPN; EPN; Jahr; Titel+Zusatz; Verfasser; Ort+Verlag; Umfang; Basisklassifikation; Schlagwort; ExKommentar4802; Schlagwort6800; Abrufzeichen8600; Signatur; Standort; URL588846694; 3979452271; 1933; Opisanie karty lensko-chatanskogo kraja po materialam Jakutskoj Ėkspedicii Akademii nauk SSSR; nan; Leningrad : Vsesojuznyj arktičeskij Institut [u.a.]; 1 Band (186 Seiten); nan; nan; nan; nan; nan; 4'@Kart. D 3281; 1:KTA; nan
1696969174; 3646588969; 1931; Karta Aziatsskoj časti S.S.S.R; nan; Moskva : Izdanie Giprogora RSFSR; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2357; 1:KTA; nan
1697279554; 3660660736; 1930; Karta Sibirskogo krai : administrativnaja$dkarta sostavlena i Vycherchena po noveĭshim materialam pod rykovodstvom Komissii Sibkraĭispolkoma v Sostave: A.A. Ansona [et al.]; nan; Omsk : Geokartproma; 1 map on 10 sheets; nan; nan; Revision IIIC 2020; nan; nan; Kart. D 2356; 4:KTA; nan
1697272193; 3660643963; 1930; Karta poleznych iskopaemych Kazakskoj ASSR i sopredel'nych rajonov; nan; [Moskva]; [Leningrad] : Geod. i Kartogr.; 1 Karte; nan; nan; nan; nan; nan; Kart. D 3030; 1:KTA; nan
1686407076; 3572310903; 1930; Učebnaj︡a karta Sredne-aziatskoj časti SSSR; Учебная карта Средне-азиатской части СССР; Ermakov, V V; Ермаков, В В; Moskva : Gosudarstvennoe izdatelʹstvo; Москва : Государственное издательство; 1 map; nan; nan; Revision 2020 IIIC; nan; nan; Kart. D 2355; 4:KTA; nan
1067392645; 1868382524; 1930; Charbin; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-L,52<1930>; 1:KTA; nan
1067392122; 1868380629; 1930; St. Manʺčžurija; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-M,50<1930>; 1:KTA; nan
1067391924; 1868379876; 1930; Mergenʺ; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-M,51<1930>; 1:KTA; nan
1067376984; 1868259420; 1930; Ruchlovo; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-N,51<1930>; 1:KTA; nan
1067376801; 1868258831; 1930; Zeja; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-N,52<1930>; 1:KTA; nan
1067376666; 1868257657; 1930; Udskaja Guba; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-N,53<1930>; 1:KTA; nan
1783573414; 4026648214; 1929; Stanford's map of the Siberian Railway : the great land route to China and Korea; nan; London : Edward Stanford; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2347; 1:KTA; nan
1067392920; 186838313X; 1929; Vladivostok; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-K,52<1929>; 1:KTA; nan
1067392343; 1868381269; 1929; Ostrov Chokkajdo : [Iesso]; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-L,54<1929>; 1:KTA; nan
106739186X; 1868379752; 1929; Blagovešensk; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-M,52<1929>; 1:KTA; nan
1067391703; 1868378160; 1929; Chabarovsk; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-M,53<1929>; 1:KTA; nan
1067378790; 1868273733; 1929; Aleksandrovsk; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-M,54<1929>; 1:KTA; nan
1067375872; 1868252590; 1929; Narym; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-O,44<1929>; 1:KTA; nan
1035274329; 181719559X; 1929; Karta aziatskoj časti SSSR : s alfavitnym ukazatelem naselennych mest; nan; Moskva u.a : Gosudarstvennoe Izd; 1 Kt.; nan; nan; Revision IIIC 2018; nan; nan; Kart. D 2353; 4:KTA; nan
1035274329; 1817195603; 1929; Karta aziatskoj časti SSSR : s alfavitnym ukazatelem naselennych mest; nan; Moskva u.a : Gosudarstvennoe Izd; 1 Kt.; nan; nan; nan; nan; nan; 4'@Kart. D 2353; 1:KTA; nan
1742779093; 3825530035; 1928; Karta vulkanov Kamčatki : the maps of the Volcanoes of Kamtchatka; nan; Leningrad : Russkij geografičeskij obšestvo; 1 Karte auf 2 Blättern; nan; nan; nan; nan; nan; Kart. D 2975; 1:KTA; nan
1742779093; 3825530043; 1928; Karta vulkanov Kamčatki : the maps of the Volcanoes of Kamtchatka; nan; Leningrad : Russkij geografičeskij obšestvo; 1 Karte auf 2 Blättern; nan; nan; nan; nan; nan; 4'@Kart. D 2975; 1:KTA; nan
1742779093; 4274894002; 1928; Karta vulkanov Kamčatki : the maps of the Volcanoes of Kamtchatka; nan; Leningrad : Russkij geografičeskij obšestvo; 1 Karte auf 2 Blättern; nan; nan; nan; nan; nan; 4'@Kart. D 2975<a>; 1:KTA; nan
1742779093; 4274894010; 1928; Karta vulkanov Kamčatki : the maps of the Volcanoes of Kamtchatka; nan; Leningrad : Russkij geografičeskij obšestvo; 1 Karte auf 2 Blättern; nan; nan; nan; nan; nan; 4'@Kart. D 2975<b>; 1:KTA; nan
1067392777; 1868382877; 1928; Olʺga; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-K,53<1928>; 1:KTA; nan
1067392513; 1868382257; 1928; Iman; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-L,53<1928>; 1:KTA; nan
1067378316; 186826954X; 1928; Novosibirsk; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-N,44<1928>; 1:KTA; nan
1067378049; 1868267881; 1928; Kuznesk; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-N,45<1928>; 1:KTA; nan
106737647X; 1868255964; 1928; Nikolaevsk na Amure; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-N,54<1928>; 1:KTA; nan
1067375775; 1868252388; 1928; Tomsk; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-O,45<1928>; 1:KTA; nan
1754965148; 3999977558; 1927; Russie d'Asie; nan; Paris VIIe : [Service Géographique de l'Armée]; 1 Karte auf 12 Blättern; nan; nan; Revision IIIC 2023; nan; nan; Kart. D 2336; 4:KTA; nan
1067378561; 186827148X; 1927; Omsk; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-N,43<1927>; 1:KTA; nan
1067375988; 1868253023; 1927; Tara; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2350-O,43<1927>; 1:KTA; nan
414561600; 3621202986; 1927; Materialy po gipsometrii Kazakstana; Kopylov, Nikolaj Antonovič; Leningrad : Akad. Nauk.; 66 S; nan; nan; nan; nan; nan; 8'@Kart. D 3224; 1:KTA; nan
1783573406; 4026648192; 1925; Stanford's map of the Siberian Railway : the great land route to China and Korea; nan; London : Edward Stanford; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2346; 1:KTA; nan
1738314936; 3671354127; 1925; Navigacionnaja karta r. Orchona : ot vladenija v r. Selengu do ust'ja r. Tol' 310 kilm. : masštab 200 metr. v. 10 m. m.; nan; Irkutsk : Gublit; 1 Atlas (12 Blätter); nan; nan; nan; nan; nan; 2'@Kart. D 3386; 1:KTA; nan
169901129X; 3675670929; 1925; Obzornaja karta avtonomnoj Jakutskoj sož. sov. respubliki; nan; [Moskva] : [Akad. Nauk S.S.S.R.]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2824; 1:KTA; nan
1696964415; 3646570792; 1925; Administrativnaja karta SSSR : Aziatskaja čast$dekonomičeskoe rajonirovanie po proektu gosplana; nan; [Moskva]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2348; 1:KTA; nan
1032799439; 1812075588; 1925; Karta Aziatsskoj časti S.S.S.R; nan; Leningrad : Izdanie Gosudartsvennoj Kartografin; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2351; 1:KTA; nan
1700560263; 3687246280; 1924; Splavnaja karta R. Olekny : porožistaja častio R. Chani po R. Enjuka; nan; Irkutsk; 1 Band (2 Seiten, 11 Blätter); nan; nan; nan; nan; nan; Kart. D 3380; 1:KTA; nan
1698520255; 3668497613; 1924; Karta Altajskoj gubernii; nan; [Russland?] : [Verlag nicht ermittelbar]; 1 Karte auf 4 Blättern; nan; nan; nan; nan; nan; Kart. D 2412; 1:KTA; nan
1689315504; 3587962758; 1924; Navigacionnaja karta r. Aldana ot s. Ust'-Majskogo vverch 463 verstij; nan; Irkutsk : Gublit; 1 Atlas (12 Blätter); nan; nan; nan; nan; nan; 4'@Kart. D 2396; 1:KTA; nan
672532689; 127818385X; 1924; Karta Jakutskoj Avtonomnoj Socialističeskoj Sovetskoj Respubliki; nan; Lenigrad : Gublit; 1 Kt.; nan; nan; nan; nan; nan; Kart. D 2823; 1:KTA; nan
33608028X; 527545872; 1924; Karte des Ussurigebietes : [Reiseroute von Schkotow über den Dadjanschan zum Chanktasee im Jahre 1902 : Reisen im Sichote-alin bis zum Iman im Jahre 1906]; Jaeschke, C.; Berlin : Aug. Scherl; 2 Karten auf 1 Blatt; 74.21$jAsien$XGeographie; 240216997: Ussuri-Gebiet ; ID: gnd/4488454-0; 104913495: Reiseweg ; ID: gnd/4233933-9; nan; nan; nan; Kart. D 3679; 1:KTA; nan
33608028X; 1703698037; 1924; Karte des Ussurigebietes : [Reiseroute von Schkotow über den Dadjanschan zum Chanktasee im Jahre 1902 : Reisen im Sichote-alin bis zum Iman im Jahre 1906]; Jaeschke, C.; Berlin : Aug. Scherl; 2 Karten auf 1 Blatt; 74.21$jAsien$XGeographie; 240216997: Ussuri-Gebiet ; ID: gnd/4488454-0; 104913495: Reiseweg ; ID: gnd/4233933-9; nan; nan; nan; Kart. D 3679<a>; 1:KTA; nan
1797431811; 4111820549; 1922; Russisch-Asien, politische Gliederung : nach dem Stande vom 20. Mai 1922; nan; Berlin : R. Hobbing; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2344; 1:KTA; nan
1797431579; 4111820166; 1922; Russisch-Asien, politische Gliederung : nach dem Stande vom 20. Mai 1922; nan; [Berlin] : Kartogr. Büro d. Ausw. Amtes; 1 Karte; nan; nan; Revision IIIC 2023; nan; nan; Kart. D 2343<2>; 4:KTA; nan
179673196X; 4100863675; 1922; Das Gebiet der Sibirischen Bahnen; nan; [Erscheinungsort nicht ermittelbar] : Auswärtiges Amt, Kartogr. Büro; 1 Karte auf 3 Blättern; nan; nan; nan; nan; nan; Kart. D 2341; 1:KTA; nan
1796245674; 4097339745; 1922; Eisenbahnkarte des Asiatischen Russland; nan; [Erscheinungsort nicht ermittelbar] : Auswärtiges Amt, Abt. X Außenhandel; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2340; 1:KTA; nan
04334447X; 4111819737; 1922; Russisch-Asien, politische Gliederung : nach dem Stande vom 20. Mai 1922; nan; [Berlin] : Kartogr. Büro d. Ausw. Amtes; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2343; 1:KTA; nan
1703171284; 3693667217; 1920; Ot s. Nikol'skogo do Ust'ja r. Vitima; nan; Irkutsk : Tipo-litografija Irkutskogo Rayonnogo Upravlenija Vodnym Transportom; 1 Band (32 Doppelblätter); nan; nan; nan; nan; nan; 4'@Kart. D 3280; 1:KTA; nan
1703171160; 3693666989; 1920; Ot s. Kačuga do s. Tutury̌; nan; Irkutsk : Tipo-litografija Irkutskogo Rayonnogo Upravlenija Vodnym Transportom; 1 Band (9 Doppelblätter); nan; nan; nan; nan; nan; 4'@Kart. D 3280; 1:KTA; nan
1779913435; 4010498110; 1919; Siberia; nan; New York : [American Geographical Society]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2337; 1:KTA; nan
