"PPN"	"EPN"	"Jahr"	"Titel+Zusatz"	"Verfasser"	"Ort+Verlag"	"Umfang"	"Basisklassifikation"	"Schlagwort"	"ExKommentar4802"	"Schlagwort6800"	"Abrufzeichen8600"	"Signatur"	"Standort"	"URL"	
"185249865X"	"4352939366"	"1933"	""	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 6468-14<1933>"	"1:KTA"	""	
"185249865X"	"4352939374"	"1933"	""	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 6468-14<1933;a>"	"1:KTA"	""	
"1852497149"	"4352934623"	"1933"	""	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 6468-13<1933>"	"1:KTA"	""	
"1852497149"	"4352934631"	"1933"	""	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 6468-13<1933;a>"	"1:KTA"	""	
"1852490586"	"4352917885"	"1933"	""	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 6468-10<1933>"	"1:KTA"	""	
"1852490586"	"4352917893"	"1933"	""	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 6468-10<1933;a>"	"1:KTA"	""	
"1852490446"	"4352917575"	"1933"	""	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 6468-9<1933>"	"1:KTA"	""	
"1852490446"	"4352917583"	"1933"	""	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 6468-9<1933;a>"	"1:KTA"	""	
"1852489014"	"4352914134"	"1933"	""	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 6468-7<1933>"	"1:KTA"	""	
"1852489014"	"4352914746"	"1933"	""	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 6468-7<1933;a>"	"1:KTA"	""	
"1833268474"	"4267556059"	"1933"	"Acre"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106105523: Akko ; ID: gnd/4068495-7"	""	""	""	"Kart. D 7135-15,25"	"1:KTA"	""	
"1809646049"	"416292242X"	"1933"	""	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 6468-11<1933>"	"1:KTA"	""	
"1809646049"	"4209384011"	"1933"	""	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 6468-11<1933;a>"	"1:KTA"	""	
"1809643481"	"4162902100"	"1933"	"Jiza"	""	"Amman : Dept. of Lands"	"1 Karte"	""	""	""	""	""	"Kart. D 6467-5,B<1934>"	"1:KTA"	""	
"1809643279"	"4162901635"	"1933"	"Madaba"	""	"Amman : Dept. of Lands"	"1 Karte"	""	""	""	""	""	"Kart. D 6467-5,A<1933>"	"1:KTA"	""	
"180964321X"	"4162901473"	"1933"	"Amman"	""	"Amman : Dept. of Lands"	"1 Karte"	""	""	""	""	""	"Kart. D 6467-4,B<1934>"	"1:KTA"	""	
"1793704872"	"4071589337"	"1933"	"Syrie & Liban"	""	"Beyrouth : Bureau Topographique des Troupes françaises du Levant"	"1 Karte auf 2 Blättern"	""	""	""	""	""	"Kart. D 6770"	"1:KTA"	""	
"1777066883"	"4000982796"	"1933"	"'Amman"	""	"[Southampton] : Ordnance Survey"	"1 Karte"	""	""	""	""	""	"Kart. D 7148-[1]"	"1:KTA"	""	
"177706659X"	"4000981889"	"1933"	"Jerusalem"	""	"[Southampton] : Ordnance Survey"	"1 Karte"	""	""	""	""	""	"Kart. D 7138-[3]"	"1:KTA"	""	
"177706645X"	"4000981439"	"1933"	"Haifa"	""	"[Southampton] : Ordnance Survey"	"1 Karte"	""	""	""	""	""	"Kart. D 7138-[1]"	"1:KTA"	""	
"1738262944"	"3794045599"	"1933"	"Isola di Scarpanto"	""	"[Firenze] : Istituto geografico militare"	"1 Karte auf 6 Blättern"	""	""	""	""	""	"Kart. D 5883"	"1:KTA"	""	
"1738259137"	"379403676X"	"1933"	"Isola di Lero"	""	"[Firenze] : Istituto geografico militare"	"1 Karte"	""	""	""	""	""	"Kart. D 5820<1933>"	"1:KTA"	""	
