"PPN"	"EPN"	"Jahr"	"Titel+Zusatz"	"Verfasser"	"Ort+Verlag"	"Umfang"	"Basisklassifikation"	"Schlagwort"	"ExKommentar4802"	"Schlagwort6800"	"Abrufzeichen8600"	"Signatur"	"Standort"	"URL"	
"1839503009"	"4292099685"	"1933"	"Republik Argentinien : 14 Provinzen, 1 Bundesdistrikt, 10 Staatsterritorien, Südinseln"	""	"Buenos Aires : Industria Argentina"	"1 grafische Darstellung"	""	""	""	""	""	"Kart. R 17500/25"	"1:KTA"	""	
"1839357614"	"429145564X"	"1933"	"Carta geral do Estado de S. Paulo"	""	"[São Paulo] : Lithographica 'Ypiranga'"	"1 Karte"	""	""	""	""	""	"Kart. R 16888"	"1:KTA"	""	
"1820822710"	"4207110011"	"1933"	"Quebec and the Maritime Provinces"	""	"Ottawa : Department of the Interior, Topographical Survey of Canada"	"1 Karte"	""	""	""	""	""	"Kart. R 2067-Quebec"	"1:KTA"	""	
"1786509709"	"4038315533"	"1933"	"Sudbury : Ontario"	""	"[Ottawa] : Surveys and Mapping Branch, Hydrographic and Map Service"	"1 Karte"	""	""	""	""	""	"Kart. R 2641"	"1:KTA"	""	
"1760582085"	"3938802162"	"1933"	""	""	"Ottawa : Topographical Survey"	"1 Karte"	""	""	""	""	""	"Kart. R 2525-2"	"1:KTA"	""	
"1755525761"	"3914070250"	"1933"	"Dominion of Canada"	""	"London : George Philip & Son"	"4 Karten"	""	""	""	""	""	"Kart. R 2079"	"1:KTA"	""	
"1753667143"	"3906228606"	"1933"	"Mapa general de la República de Honduras"	""	"Tegucigalpa : Tipo-Lito Ariston, propietarios Teodoro Köhncke y Co"	"1 Karte auf 4 Blättern"	""	""	""	""	""	"Kart. R 12542"	"1:KTA"	""	
"1752302443"	"3893549242"	"1933"	"[Oil map of Northern Mexico]"	""	"New York : International Map Co."	"1 Karte"	""	""	""	""	""	"Kart. R 11822"	"1:KTA"	""	
"1751846628"	"389106182X"	"1933"	""	""	"Wellington : Department of Lands and Survey"	"1 Karte"	""	""	""	""	""	"Kart. R 24161-15"	"1:KTA"	""	
"1742666132"	"3823665480"	"1933"	"Map of Venezuela showing relative location of oil concessions held by principal companies as of September, 1933"	""	"New York : International Map Co., Inc"	"1 Karte"	""	""	""	""	""	"Kart. R 15561/79"	"1:KTA"	""	
"1741300770"	"3814359046"	"1933"	"Map of Northern California showing placer mining areas"	""	"San Francisco : [Division of Mines]"	"1 map"	""	""	""	""	""	"Kart. R 6308"	"1:KTA"	""	
"1739107659"	"3806731691"	"1933"	"Map of the island of Grenada : GSGS 3938"	""	"London : War Office"	"1 Karte"	""	""	""	""	""	"Kart. R 13961"	"1:KTA"	""	
"1697653189"	"3662228297"	"1933"	"Nuevo mapa de Bolivia"	""	"Paris : Forest"	"1 Karte"	""	""	""	""	""	"Kart. R 18648"	"1:KTA"	""	
"1682051641"	"3541843330"	"1933"	"Malloco"	""	"Santiago : Instituto geográfico militar"	"1 Karte"	""	""	""	""	""	"Kart. 6648-3519<1933>"	"1:KTA"	""	
"1682051412"	"3541842687"	"1933"	"Melipilla"	""	"Santiago : Instituto geográfico militar"	"1 Karte"	""	""	""	""	""	"Kart. R 18070-10"	"1:KTA"	""	
"1682051293"	"3541842407"	"1933"	"San Antonio"	""	"Santiago : Instituto geográfico militar"	"1 Karte"	""	""	""	""	""	"Kart. R 18070-9"	"1:KTA"	""	
"1682051145"	"3541842016"	"1933"	"San Felipe"	""	"Santiago : Instituto geográfico militar"	"1 Karte"	""	""	""	""	""	"Kart. R 18070-8"	"1:KTA"	""	
"1682051021"	"3541841729"	"1933"	"Llay Llay"	""	"Santiago : Instituto geográfico militar"	"1 Karte"	""	""	""	""	""	"Kart. R 18070-7"	"1:KTA"	""	
"1682050637"	"3541840447"	"1933"	"Quillota"	""	"Santiago : Instituto geográfico militar"	"1 Karte"	""	""	""	""	""	"Kart. R 18070-6"	"1:KTA"	""	
"168205053X"	"3541840188"	"1933"	"Valparaiso"	""	"Santiago : Instituto geográfico militar"	"1 Karte"	""	""	""	""	""	"Kart. R 18070-5"	"1:KTA"	""	
"168205053X"	"4124794347"	"1933"	"Valparaiso"	""	"Santiago : Instituto geográfico militar"	"1 Karte"	""	""	""	""	""	"Kart. R 18303"	"1:KTA"	""	
"1682050246"	"3541839562"	"1933"	"Putaendo"	""	"Santiago : Instituto geográfico militar"	"1 Karte"	""	""	""	""	""	"Kart. R 18070-4"	"1:KTA"	""	
"168205019X"	"3541839392"	"1933"	"Cabildo"	""	"Santiago : Instituto geográfico militar"	"1 Karte"	""	""	""	""	""	"Kart. R 18070-3"	"1:KTA"	""	
"1682049981"	"3541838965"	"1933"	"La Ligua"	""	"Santiago : Instituto geográfico militar"	"1 Karte"	""	""	""	""	""	"Kart. R 18070-2"	"1:KTA"	""	
"1682049795"	"3541838639"	"1933"	"Papudo"	""	"Santiago : Instituto geográfico militar"	"1 Karte"	""	""	""	""	""	"Kart. R 18070-1"	"1:KTA"	""	
"1671100875"	"3506283529"	"1933"	"S. Rita do Sapucahy"	""	"[S.l.]"	"1 Karte"	""	""	""	""	""	"Kart. R 16717-41"	"1:KTA"	""	
"1663127778"	"3421414599"	"1933"	"Churchill, Manitoba"	""	"Ottawa : Dept. of the Interior, Topographical Survey"	"1 Karte"	""	""	""	""	""	"Kart. R 2322"	"1:KTA"	""	
"1403877769"	"603056342"	"1933"	"Bad Tölz und das Land im Isarwinkel"	""	"Berlin-Tempelhof : Universum-Verlagsanst"	"48 S"	""	""	""	""	""	"Kart. Rf 2734/19/5"	"1:KTA"	""	
"1033009148"	"1812439539"	"1933"	"Belcher Islands, Northwest Territories"	""	"Ottawa : Topographical Survey of Canada"	"1 map"	""	""	""	""	""	"Kart. R 2308"	"1:KTA"	""	
"1015225004"	"1756855382"	"1933"	"British Columbia"	""	"S.l. : Department of Lands"	"1 Karte auf 4 Blättern"	""	""	""	""	""	"Kart. R 2340/17"	"1:KTA"	""	
"1010054457"	"1737980193"	"1933"	"British Columbia"	""	"Ottawa : Dept. of Lands"	"1 map on 4 sheets"	""	""	""	""	""	"Kart. R 2080"	"1:KTA"	""	
"1002264456"	"1719760616"	"1933"	"Montevideo"	""	"[Montevideo] : Imprenta Nacional"	"1 Karte"	""	""	""	""	""	"Kart. R 17166-24<1933>"	"1:KTA"	""	
"780770641"	"1463868359"	"1933"	"Cagancha : San José"	""	"[Montevideo]"	"1 Kt."	""	""	""	""	""	"Kart. R 17164-11,27<1933>"	"1:KTA"	""	
"641574029"	"1205696520"	"1933"	"Map of Ohio : showing state highway system"	""	"Columbus"	"1 Kt."	""	""	""	"Provenienz: Bundesforschungsanstalt für Landeskunde und Raumordnung <Bonn>; |k|Bundesforschungsanstalt für Landeskunde und Raumordnung <Bonn>"	""	"Kart. R 9438"	"1:KTA"	""	
"502390328"	"4195985242"	"1933"	"Kaffee-Karte der Republik Columbien"	""	"Bogota : Litografia Colombia"	"Kt"	""	""	""	""	""	"Kart. R 15245"	"1:KTA!"	""	
"449776778"	"437173593"	"1933"	"Handbook for China <including Hongkong>"	"Crow, Carl"	"Hong Kong [usw.] : Kelly & Walsh"	"V, 390 S., 6 Kt. 8'"	""	""	""	""	""	"Un 6308<5>"	"2"	""	
"449776778"	"585824142"	"1933"	"Handbook for China <including Hongkong>"	"Crow, Carl"	"Hong Kong [usw.] : Kelly & Walsh"	"V, 390 S., 6 Kt. 8'"	""	""	""	""	""	"Kart. Rf 8134"	"1:KTA"	""	
"418495289"	"459219219"	"1933"	"Riesengebirge : mit Angaben für Automobilisten und Wintersportler"	""	"Berlin : Grieben"	"109, 22 S., [2] Bl."	""	""	""	""	""	"8'@Kart. 9081-81"	"1:KTA"	""	
