"PPN"	"EPN"	"Jahr"	"Titel+Zusatz"	"Verfasser"	"Ort+Verlag"	"Umfang"	"Basisklassifikation"	"Schlagwort"	"ExKommentar4802"	"Schlagwort6800"	"Abrufzeichen8600"	"Signatur"	"Standort"	"URL"	
"1820337391"	"4204383785"	"1933"	"Map of neolithic Wessex : showing the distribution of long barrows, circles, habitation sites, flint mines"	""	"Southampton : Ordnance Survey"	"35 pages, 3 unnumbered leaves of plates (1 folded)"	""	""	""	""	""	"8'@Kart. U 12095"	"1:KTA"	""	
"1788476719"	"4050853221"	"1933"	"Map of the Trent Basin : showing the distribution of long barrows, megaliths and habitation-sites"	""	"Southampton : Ordnance Survey"	"1 Karte"	""	""	""	""	""	"8'@Kart. U 12086"	"1:KTA"	""	
"1778213413"	"4004543878"	"1933"	"Rzeczpospolita Polska w dobie królów obieralnych : Stan polityczny z czasów króla Stefana Batorego (1582) z uwzględnieniem późniejszych zmian terytorjalnych do r. 1770"	"Semkowicz, Władysław *1878-1949* ; ID: gnd/101528744"	"Lwów; Warszawa : Książnica-Atlas"	"1 mapa"	""	""	""	""	""	"Kart. U 19140"	"1:KTA"	""	
"1776473248"	"400012465X"	"1933"	"Die römischen Heerstrassen zwischen Main und Neckar"	""	"Berlin : Reichsamt für Landesaufnahme"	"1 Karte"	""	""	""	""	""	"Kart. U 16326"	"1:KTA"	""	
"1764371569"	"3957651875"	"1933"	"Mapa Polski narodowościowa na zasadzie przejawów miejscowej kultury z ostatniego stulecia (do r. 1912-go) czyli z epoki trzebienia kultury polskiej : z nazwiskami umieszczonymi w miejscach rodzinnych"	""	"Warszawa : [wydawca nieznany]"	"1 Karte"	""	""	""	""	""	"8'@Kart. U 19087"	"1:KTA"	""	
"1753050626"	"3901212671"	"1933"	"Die deutsche Besiedlung Pommerellens um 1450"	""	"[S.l.]"	"1 Karte"	""	""	""	""	""	"Kart. U 17345"	"1:KTA"	""	
"1699822972"	"3682810803"	"1933"	"Der Lebensweg Jesu : Bilderkarte nach den vier Evangelien"	""	"Kassel : Bärenreiter"	"1 Wandkarte"	""	""	""	""	""	"Kart. U 9077"	"1:KTA"	""	
"1691042846"	"3598527500"	"1933"	"Vore Fortidsminder : arkæologisk Kort over Nordøst-Sjælland"	""	"København"	"1 Karte"	""	""	""	""	""	"8'@Kart. U 11470-1"	"1:KTA"	""	
"1691042846"	"3598527519"	"1933"	"Vore Fortidsminder : arkæologisk Kort over Nordøst-Sjælland"	""	"København"	"1 Karte"	""	""	""	""	""	"8'@Kart. U 11470-1<a>"	"1:KTA"	""	
"1687431914"	"3575549303"	"1933"	"Celtic earthworks of Salisbury plain based on air photographs : Old Sarum"	""	"Southampton : Ordnance Survey"	"[2] Seiten"	""	""	""	""	""	"8'@Kart. U 12083"	"1:KTA"	""	
"1686410468"	"3572319633"	"1933"	"[Europa und Nordaafrika] : anon. Seekarte von 1413 in der Bibl. Naz. in Neapel : [verklein. Photogr. der lithographischen Reproduktion Rondinis von 1842]"	""	"[Erscheinungsort nicht ermittelbar] : [Verlag nicht ermittelbar]"	"1 Karte auf 2 Blättern"	""	""	""	""	""	"4'@Kart. U 3392"	"1:KTA"	""	
"1145992994"	"42361665x"	"1933"	"Die verschollene Columbus-Karte von 1498 in einer türkischen Weltkarte von 1513 : mit 9 Tafeln"	"Kahle, Paul *1875-1964* ; ID: gnd/118714678"	"Berlin; Leipzig : Walter de Gruyter & Co"	"52 Seiten"	""	"080201067: Piri, Re'is *1470-1554* ; ID: gnd/119388405; 106396161: Amerika ; ID: gnd/4001670-5; 104321792: Karte ; ID: gnd/4029783-4; 137868278: Colombo, Cristoforo *1451-1506* ; ID: gnd/118564994"	""	""	""	"Kart LS HM 359207"	"1:KartKS"	""	
"1145992994"	"3637051257"	"1933"	"Die verschollene Columbus-Karte von 1498 in einer türkischen Weltkarte von 1513 : mit 9 Tafeln"	"Kahle, Paul *1875-1964* ; ID: gnd/118714678"	"Berlin; Leipzig : Walter de Gruyter & Co"	"52 Seiten"	""	"080201067: Piri, Re'is *1470-1554* ; ID: gnd/119388405; 106396161: Amerika ; ID: gnd/4001670-5; 104321792: Karte ; ID: gnd/4029783-4; 137868278: Colombo, Cristoforo *1451-1506* ; ID: gnd/118564994"	""	""	""	"8'@Kart. U 3521"	"1:KTA"	""	
"1134388101"	"359633490X"	"1933"	"Orosei"	""	"Firenze : Istituto Geografico Militare"	"41 S."	""	""	""	""	""	"4'@Kart. U 20058-2"	"1:KTA"	""	
"113438601X"	"3596333105"	"1933"	"Cesana"	""	"Firenze : Istituto Geografico Militare"	"16 S."	""	""	""	""	""	"4'@Kart. U 20058-1"	"1:KTA"	""	
"1134385439"	"3596333822"	"1933"	"Passo di Rèsia"	""	"Firenze : Istituto Geografico Militare"	"20 S."	""	""	""	""	""	"4'@Kart. U 20058-1"	"1:KTA"	""	
"1047045869"	"1841296708"	"1933"	"Neue Ptolemäus-Literatur"	"Bonacker, Wilhelm *1888-1969* ; ID: gnd/118661280"	""	"Seiten 193-197"	""	""	""	""	""	"8'@Kart. U 1400/10"	"1:KTA"	""	
"1018192700"	"1764203593"	"1933"	"[Atlas von Kopien verschiedener Seekarten um 1490] : [verklein. Photogr. nach dem Orig. im Brit. Museum, London, Egeston-Slg. Nr. 73]"	""	"[Erscheinungsort nicht ermittelbar] : [Verlag nicht ermittelbar]"	"1 Atlas (20 ungezählte Blatt Fotografien), (2 ungezählte Blatt Text)"	""	""	""	""	""	"4'@Kart. U 3472"	"1:KTA"	""	
"1016583710"	"1761927965"	"1933"	"[Atlas nautique de l'océan Atlantique Nord-Est, de la mer Méditerranée et de la mer Noire] : [verklein. Photogr. des Originals in der Bibl. Nat. in Paris, n. 905]"	""	"[Erscheinungsort nicht ermittelbar] : [Verlag nicht ermittelbar]"	"1 Atlas (5 Blätter Fotografien)"	""	""	""	""	""	"4'@Kart. U 3453/10"	"1:KTA"	""	
